domain,dataset_name,model_seed,layer,target,target_dim,aggregate,member_index,status,target_dim_original,target_dim_active,target_dim_constant,target_variance_mean,target_unique_values,ridge_r2,ridge_mae,ridge_rmse,ridge_r2_median,ridge_r2_variance_weighted,ridge_nrmse,ridge_elapsed_seconds,train_samples,validation_samples,test_samples,mlp_r2,mlp_r2_std,mlp_mae,mlp_mae_std,mlp_rmse,mlp_rmse_std,mlp_nrmse,mlp_nrmse_std,mlp_r2_median,mlp_r2_variance_weighted,mlp_epochs,mlp_epochs_std,mlp_num_seeds,mlp_elapsed_seconds,delta_mlp_minus_ridge,probe_elapsed_seconds
go2,Go2JoystickFlatTerrain-direction-expert-v1,2,h1,info_steps_until_next_cmd,1,member,0,ok,1,1,0,58306.84765625,1034.0,-0.04173159599304199,171.45973205566406,225.5790725416478,-0.04173159599304199,-0.04173159599304199,1.0231002569198608,0.019636360928416252,6429.0,1525.0,2046.0,-0.059758504231770836,0.011820592689698366,172.0460662841797,0.07966387217666873,227.51895400859829,1.271397754441257,1.0294296344121296,0.005752578946158258,-0.059758504231770836,-0.0597585029900074,33.666666666666664,0.9428090415820634,3.0,3.3256406020373106,-0.018026908238728843,3.3452808558940887
go2,Go2JoystickFlatTerrain-direction-expert-v1,2,h1,info_steps_until_next_pert,1,member,0,ok,1,1,0,811.9083251953125,101.0,-0.03746306896209717,24.824859619140625,28.892430184611612,-0.03746306896209717,-0.03746306896209717,1.0226081609725952,0.019694766961038113,6429.0,1525.0,2046.0,-0.060070435206095375,0.012916599077508813,24.985393524169922,0.14077522249796057,29.204991057618745,0.17762519479432598,1.0295782089233398,0.0062618843133385935,-0.060070435206095375,-0.06007043396433195,33.0,0.816496580927726,3.0,3.262841197894886,-0.022607366243998207,3.282539983978495
go2,Go2JoystickFlatTerrain-direction-expert-v1,2,h1,info_feet_air_time,4,member,0,ok,4,4,0,33.107887268066406,,0.0796096920967102,4.652469158172607,5.4705253117300625,0.0796096920967102,0.0796096920967102,0.9593697190284729,0.017831650096923113,6429.0,1525.0,2046.0,0.03535335262616476,0.004100414585963716,4.790810426076253,0.0024088946545265527,5.600491738508146,0.011909161225007714,0.9821532766024271,0.0020889410557369797,0.035909950733184814,0.03535335262616476,36.0,0.816496580927726,3.0,3.470928929047659,-0.04425633947054545,3.4887646620627493
go2,Go2JoystickFlatTerrain-direction-expert-v1,2,h1,info_swing_peak,4,member,0,ok,4,4,0,0.00012497117859311402,,0.012541741132736206,0.00617910036817193,0.012386113486077975,0.007708698511123657,0.011441148817539215,0.9936951398849487,0.01753771281801164,6429.0,1525.0,2046.0,0.08313007652759552,0.004617516042631468,0.005969721047828595,5.739440838399217e-05,0.011930161843768073,3.082842518752075e-05,0.9574809869130453,0.0024015073272366564,0.0860755443572998,0.08287611603736877,52.333333333333336,0.4714045207910317,3.0,5.040046878857538,0.07058833539485931,5.057588854804635
go2,Go2JoystickFlatTerrain-direction-expert-v1,2,h1,info_last_act,12,member,0,ok,12,12,0,0.256706565618515,,0.9797239303588867,0.04208413138985634,0.05736650673133628,0.9805111289024353,0.9871596693992615,0.13805921375751495,0.03449039510451257,6429.0,1525.0,2046.0,0.9907898306846619,0.00012578442437158964,0.02532477118074894,0.00018070833978275577,0.03841156273423061,0.00014214026767414667,0.09304403513669968,0.0005794215764328506,0.9905508458614349,0.9942431052525839,500.0,0.0,3.0,47.65911433799192,0.011065900325775146,47.69362219912
go2,Go2JoystickFlatTerrain-direction-expert-v1,2,h1,info_last_last_act,12,member,0,ok,12,12,0,0.25524094700813293,,0.9218451380729675,0.07529261708259583,0.10187089388125735,0.9190674722194672,0.9594173431396484,0.263848215341568,0.03230426483787596,6429.0,1525.0,2046.0,0.9296245773633321,0.0009973810060983248,0.07234386603037517,0.0006171324781819556,0.09832708081886354,0.0006299115571624023,0.2518952836592992,0.0016804484507708785,0.926649659872055,0.9621901512145996,95.0,3.7416573867739413,3.0,9.396413425914943,0.00777943929036462,9.428738029906526
go2,Go2JoystickFlatTerrain-direction-expert-v1,2,h2,delta_obs,48,member,0,ok,48,48,0,2.437718629837036,,0.6924331784248352,0.2598917782306671,0.5694677550369913,0.7804023921489716,0.8629301190376282,0.5152491927146912,0.02377669606357813,6429.0,1525.0,2046.0,0.6507713198661804,0.0010869979767319808,0.28294963637987774,0.0010027700479671553,0.6266018043705355,0.002231107945194573,0.5545338988304138,0.0008884011032678498,0.7382530768712362,0.8340441783269247,115.66666666666667,0.4714045207910317,3.0,13.855266653001308,-0.041661858558654785,13.879055856959894
go2,Go2JoystickFlatTerrain-direction-expert-v1,2,h2,next_obs,48,member,0,ok,48,48,0,2.699336051940918,,0.8129733204841614,0.27432820200920105,0.5732906652484743,0.9021121859550476,0.8716717958450317,0.37387749552726746,0.0343078940641135,6429.0,1525.0,2046.0,0.8055075208346049,0.0009580140037511843,0.2804824113845825,0.0008792602604335167,0.5894141170549091,0.002370932426280496,0.3828645845254262,0.0010950418373062959,0.8990353345870972,0.864349881807963,110.33333333333333,4.496912521077347,3.0,13.295762825058773,-0.007465799649556515,13.330083690118045
go2,Go2JoystickFlatTerrain-direction-expert-v1,2,h2,reward,1,member,0,ok,1,1,0,3.708669464685954e-05,9962.0,0.8878902196884155,0.001208546687848866,0.002015390255297888,0.8878902196884155,0.8878902196884155,1.3009384870529175,0.020172117045149207,6429.0,1525.0,2046.0,0.8774673541386923,0.0012791890689725352,0.0012857978387425344,1.7121647288716504e-05,0.0021069653573294665,1.101402051613778e-05,0.3500418464342753,0.001829829754372493,0.8774673541386923,0.8774673342704773,58.666666666666664,7.93025150224688,3.0,5.820735663874075,-0.01042286554972327,5.840913627995178
go2,Go2JoystickFlatTerrain-direction-expert-v1,2,h2,obs_sanity,48,member,0,ok,48,48,0,2.7091972827911377,,0.9658480286598206,0.09612888097763062,0.19461944641306705,0.9728119969367981,0.9853788614273071,0.17334085702896118,0.03509742603637278,6429.0,1525.0,2046.0,0.9735165238380432,0.00018990465122703976,0.08897299071153005,0.0004977756988679453,0.19744306388769758,0.001669666901029058,0.15514854590098062,0.00039630574123582875,0.9745457371075948,0.9849505027135214,500.0,0.0,3.0,55.71938318386674,0.007668495178222656,55.75448992289603
go2,Go2JoystickFlatTerrain-direction-expert-v1,2,h2,xy_t_sanity,2,member,0,ok,2,2,0,0.359200656414032,,0.9627276659011841,0.07403511554002762,0.10030205953789023,0.9627276659011841,0.9709473252296448,0.19059115648269653,0.019008200149983168,6429.0,1525.0,2046.0,0.9792687694231669,0.0005948845592197838,0.05399371683597565,0.0013476884985331142,0.07691970559068079,0.001560574947300637,0.14279460906982422,0.0020767993851321352,0.9792687594890594,0.9829069574673971,291.6666666666667,46.657141885127174,3.0,27.779647378018126,0.016541103521982792,27.79866408603266
