domain,dataset_name,model_seed,layer,target,target_dim,aggregate,member_index,status,target_dim_original,target_dim_active,target_dim_constant,target_variance_mean,target_unique_values,ridge_r2,ridge_mae,ridge_rmse,ridge_r2_median,ridge_r2_variance_weighted,ridge_nrmse,ridge_elapsed_seconds,train_samples,validation_samples,test_samples,mlp_r2,mlp_r2_std,mlp_mae,mlp_mae_std,mlp_rmse,mlp_rmse_std,mlp_nrmse,mlp_nrmse_std,mlp_r2_median,mlp_r2_variance_weighted,mlp_epochs,mlp_epochs_std,mlp_num_seeds,mlp_elapsed_seconds,delta_mlp_minus_ridge,probe_elapsed_seconds
go2,Go2JoystickFlatTerrain-direction-expert-v1,2,h3,wm_obs_error_norm,1,member,0,ok,1,1,0,0.564924418926239,9993,0.18943464756011963,0.48160651326179504,0.674627322171936,0.18943464756011963,0.18943464756011963,1.1060519218444824,0.019810141995549202,6429,1525,2046,0.17200249433517456,0.02803752943600354,0.48973941802978516,0.007801075031184747,0.681744288344114,0.011605863626755824,0.9098118742307028,0.015488445566052587,0.17200249433517456,0.17200249433517456,36.333333333333336,0.4714045207910317,3,3.6134812249802053,-0.01743215322494507,3.6332953651435673
go2,Go2JoystickFlatTerrain-direction-expert-v1,2,h3,wm_reward_abs_error,1,member,0,ok,1,1,0,1.7137849681603257e-06,9900,0.11102896928787231,0.0005309637635946274,0.0012282954048982418,0.11102896928787231,0.11102896928787231,1.079281210899353,0.01968155591748655,6429,1525,2046,0.0927592118581136,0.0059809534281029175,0.0005546780885197222,9.321127653479138e-06,0.0012408461695150655,4.094506066728201e-06,0.9524867534637451,0.0031429827000873166,0.0927592118581136,0.0927592118581136,38.666666666666664,1.247219128924647,3,3.8524504648521543,-0.018269757429758712,3.87213604291901
go2,Go2JoystickFlatTerrain-direction-expert-v1,2,h3,unc_epi_mean,1,member,0,ok,1,1,0,0.0007543229148723185,9996,0.9122007489204407,0.00512460945174098,0.008326977353090513,0.9122007489204407,0.9122007489204407,1.2717293500900269,0.019877773942425847,6429,1525,2046,0.9185354908307394,0.006804342446069871,0.005064672324806452,0.00014837606643068065,0.008013805559131778,0.0003386161164703067,0.285165399312973,0.01204940343001363,0.9185354908307394,0.9185354908307394,110.0,20.54263858417414,3,10.912778311874717,0.006334741910298702,10.932660017861053
go2,Go2JoystickFlatTerrain-direction-expert-v1,2,h3,unc_ale_max,1,member,0,ok,1,1,0,0.11341176927089691,9976,0.9198457598686218,0.060409799218177795,0.09775083729502433,0.9198457598686218,0.9198457598686218,1.2298176288604736,0.019769831094890833,6429,1525,2046,0.9226603507995605,0.0016580448562835087,0.06044594322641691,0.0013316437382846524,0.09601368813417437,0.001033201252119544,0.2780839403470357,0.0029924515327044527,0.9226603507995605,0.9226603507995605,185.66666666666666,60.59886320899281,3,18.395190780982375,0.0028145909309387207,18.4149646719452
go2,Go2JoystickFlatTerrain-direction-expert-v1,2,h3,unc_total_var,1,member,0,ok,1,1,0,0.0016202873084694147,9982,0.9302838444709778,0.006334208883345127,0.010914901167997764,0.9302838444709778,0.9302838444709778,1.2300697565078735,0.019915727898478508,6429,1525,2046,0.9449419975280762,0.006363038305781426,0.005390260523806016,0.00028267473192222363,0.009682892654338136,0.0005726699782753609,0.2342351178328196,0.013853232977324926,0.9449419975280762,0.9449419975280762,178.66666666666666,47.86323107447813,3,17.68791473400779,0.014658153057098389,17.707834276836365
go2,Go2JoystickFlatTerrain-direction-expert-v1,2,h4,wm_obs_error_norm,1,member,0,ok,1,1,0,0.564924418926239,9993,0.2288941740989685,0.47087085247039795,0.658001537751659,0.2288941740989685,0.2288941740989685,1.103123664855957,0.019866092829033732,6429,1525,2046,0.19589773813883463,0.0023404713463256693,0.4834880630175273,0.0018063469541954047,0.6719316462990003,0.000978297867412649,0.89671657482783,0.0013055850393846966,0.19589773813883463,0.19589773813883463,37.0,0.0,3,3.684263888048008,-0.03299643596013388,3.7041340509895235
go2,Go2JoystickFlatTerrain-direction-expert-v1,2,h4,wm_reward_abs_error,1,member,0,ok,1,1,0,1.7137849681603257e-06,9900,0.11593443155288696,0.0005246659275144339,0.0012249017571086189,0.11593443155288696,0.11593443155288696,1.0776818990707397,0.02001411118544638,6429,1525,2046,0.1032106081644694,0.01145983482586277,0.0005614305070290962,4.702429666000038e-06,0.001233659691668424,7.889887208193597e-06,0.9469703038533529,0.006056327994536727,0.1032106081644694,0.1032106081644694,37.333333333333336,0.9428090415820634,3,3.7244596080854535,-0.012723823388417557,3.7444776850752532
go2,Go2JoystickFlatTerrain-direction-expert-v1,2,h4,unc_epi_mean,1,member,0,ok,1,1,0,0.0007543229148723185,9996,0.9223411083221436,0.004931091796606779,0.00783136816261962,0.9223411083221436,0.9223411083221436,1.2655816078186035,0.019888314185664058,6429,1525,2046,0.9184685548146566,0.0005544654117989173,0.005118872504681349,0.0001250494015342513,0.008024205009875508,2.7252414166223875e-05,0.2855354646841685,0.0009697570777540796,0.9184685548146566,0.9184685548146566,180.0,32.4037034920393,3,17.825707315001637,-0.003872553507486942,17.84559992607683
go2,Go2JoystickFlatTerrain-direction-expert-v1,2,h4,unc_ale_max,1,member,0,ok,1,1,0,0.11341176927089691,9976,0.9379196166992188,0.051732469350099564,0.08602693628885781,0.9379196166992188,0.9379196166992188,1.2234840393066406,0.019687850959599018,6429,1525,2046,0.920525848865509,0.001677503238544357,0.061388486375411354,0.0007430354499462484,0.09732979703440586,0.0010311684412604885,0.28189578652381897,0.002986563999651815,0.920525848865509,0.9205258289972941,131.33333333333334,24.580932086115496,3,13.020847711944953,-0.017393767833709717,13.040539578069001
go2,Go2JoystickFlatTerrain-direction-expert-v1,2,h4,unc_total_var,1,member,0,ok,1,1,0,0.0016202873084694147,9982,0.960877537727356,0.004426891915500164,0.008176478127404031,0.960877537727356,0.960877537727356,1.2229777574539185,0.019619416911154985,6429,1525,2046,0.9506271282831827,0.0041535437575582505,0.005317631953706344,0.00016548413840068233,0.009177219956064417,0.0003871862622069869,0.22200257579485574,0.009366274833377389,0.9506271282831827,0.9506271282831827,229.0,98.15633788333113,3,22.527143250918016,-0.010250409444173214,22.546766738872975
